,ratio
2021-03-12 00:00:00-05:00,0.9811608717586083
2021-03-15 00:00:00-04:00,0.9811576515535383
2021-03-16 00:00:00-04:00,0.9811864777332324
2021-03-17 00:00:00-04:00,0.9811430893315346
2021-03-18 00:00:00-04:00,0.9811653693418382
2021-03-19 00:00:00-04:00,0.9811559642216252
2021-03-22 00:00:00-04:00,0.9823896713026092
2021-03-23 00:00:00-04:00,0.9824099444833397
2021-03-24 00:00:00-04:00,0.9823787391733486
2021-03-25 00:00:00-04:00,0.9823838257934077
2021-03-26 00:00:00-04:00,0.982389543505485
2021-03-29 00:00:00-04:00,0.9823816735291765
2021-03-30 00:00:00-04:00,0.9824138485526706
2021-03-31 00:00:00-04:00,0.9824026518753989
2021-04-01 00:00:00-04:00,0.9823924737378521
2021-04-05 00:00:00-04:00,0.982382244931569
2021-04-06 00:00:00-04:00,0.9824049530505897
2021-04-07 00:00:00-04:00,0.9824128111378045
2021-04-08 00:00:00-04:00,0.9823943267670858
2021-04-09 00:00:00-04:00,0.9823950764571562
2021-04-12 00:00:00-04:00,0.9823795668739016
2021-04-13 00:00:00-04:00,0.9824020862868198
2021-04-14 00:00:00-04:00,0.9823877111142987
2021-04-15 00:00:00-04:00,0.9823891003600552
2021-04-16 00:00:00-04:00,0.9823737733759235
2021-04-19 00:00:00-04:00,0.9823839863156794
2021-04-20 00:00:00-04:00,0.9823933693999198
2021-04-21 00:00:00-04:00,0.9824092125827452
2021-04-22 00:00:00-04:00,0.982382790742344
2021-04-23 00:00:00-04:00,0.9823829919357017
2021-04-26 00:00:00-04:00,0.9823977986090014
2021-04-27 00:00:00-04:00,0.9823958569852874
2021-04-28 00:00:00-04:00,0.982389987357848
2021-04-29 00:00:00-04:00,0.9823683824948296
2021-04-30 00:00:00-04:00,0.9823913037901757
2021-05-03 00:00:00-04:00,0.9823939689663269
2021-05-04 00:00:00-04:00,0.9823955288838581
2021-05-05 00:00:00-04:00,0.9823733551418943
2021-05-06 00:00:00-04:00,0.9824132061706644
2021-05-07 00:00:00-04:00,0.9823857464882664
2021-05-10 00:00:00-04:00,0.9823633384475156
2021-05-11 00:00:00-04:00,0.9823963514834608
2021-05-12 00:00:00-04:00,0.9823693753899183
2021-05-13 00:00:00-04:00,0.9823900489583505
2021-05-14 00:00:00-04:00,0.9824113378055104
2021-05-17 00:00:00-04:00,0.982355463372268
2021-05-18 00:00:00-04:00,0.9824098766813187
2021-05-19 00:00:00-04:00,0.9823964389554916
2021-05-20 00:00:00-04:00,0.9824056615673769
2021-05-21 00:00:00-04:00,0.9823850906933278
2021-05-24 00:00:00-04:00,0.9823956663516576
2021-05-25 00:00:00-04:00,0.9823852031216613
2021-05-26 00:00:00-04:00,0.98239423808344
2021-05-27 00:00:00-04:00,0.982385394766068
2021-05-28 00:00:00-04:00,0.9823948636487657
2021-06-01 00:00:00-04:00,0.9823876309227417
2021-06-02 00:00:00-04:00,0.982400157033548
2021-06-03 00:00:00-04:00,0.9823979670265247
2021-06-04 00:00:00-04:00,0.9823833639334805
2021-06-07 00:00:00-04:00,0.982377536178743
2021-06-08 00:00:00-04:00,0.9823932154321832
2021-06-09 00:00:00-04:00,0.982393036952148
2021-06-10 00:00:00-04:00,0.9823890322318163
2021-06-11 00:00:00-04:00,0.982390807518337
2021-06-14 00:00:00-04:00,0.9823700616377358
2021-06-15 00:00:00-04:00,0.9823835887942101
2021-06-16 00:00:00-04:00,0.9823832591158042
2021-06-17 00:00:00-04:00,0.9824014352223415
2021-06-18 00:00:00-04:00,0.982386762723882
2021-06-21 00:00:00-04:00,0.9835207586770965
2021-06-22 00:00:00-04:00,0.9835108867581415
2021-06-23 00:00:00-04:00,0.9835338465732202
2021-06-24 00:00:00-04:00,0.983528805760014
2021-06-25 00:00:00-04:00,0.983495399219879
2021-06-28 00:00:00-04:00,0.9835277972708109
2021-06-29 00:00:00-04:00,0.9835223513919432
2021-06-30 00:00:00-04:00,0.9835276294295444
2021-07-01 00:00:00-04:00,0.9835242109484695
2021-07-02 00:00:00-04:00,0.9835390457295738
2021-07-06 00:00:00-04:00,0.9835285638662677
2021-07-07 00:00:00-04:00,0.9835151235561606
2021-07-08 00:00:00-04:00,0.9835308242880969
2021-07-09 00:00:00-04:00,0.9835337513904456
2021-07-12 00:00:00-04:00,0.9835309494728038
2021-07-13 00:00:00-04:00,0.983522731205795
2021-07-14 00:00:00-04:00,0.9835296086301875
2021-07-15 00:00:00-04:00,0.9835027525768509
2021-07-16 00:00:00-04:00,0.9835059341621767
2021-07-19 00:00:00-04:00,0.9834989808150744
2021-07-20 00:00:00-04:00,0.9835348958372581
2021-07-21 00:00:00-04:00,0.9835319089515036
2021-07-22 00:00:00-04:00,0.9835217462280369
2021-07-23 00:00:00-04:00,0.9835289986113755
2021-07-26 00:00:00-04:00,0.9835164421086584
2021-07-27 00:00:00-04:00,0.9835128833201862
2021-07-28 00:00:00-04:00,0.9835304671246878
2021-07-29 00:00:00-04:00,0.9835366252756678
2021-07-30 00:00:00-04:00,0.9835216462306634
2021-08-02 00:00:00-04:00,0.9835126099467127
2021-08-03 00:00:00-04:00,0.9835271903019016
2021-08-04 00:00:00-04:00,0.983538493841586
2021-08-05 00:00:00-04:00,0.9835278398220162
2021-08-06 00:00:00-04:00,0.9835344029222101
2021-08-09 00:00:00-04:00,0.9835166790830826
2021-08-10 00:00:00-04:00,0.9835065768063231
2021-08-11 00:00:00-04:00,0.9835144233108198
2021-08-12 00:00:00-04:00,0.9835238690691862
2021-08-13 00:00:00-04:00,0.983500231700427
2021-08-16 00:00:00-04:00,0.9835069758826103
2021-08-17 00:00:00-04:00,0.9835531615626858
2021-08-18 00:00:00-04:00,0.9835078000865898
2021-08-19 00:00:00-04:00,0.9835297694037691
2021-08-20 00:00:00-04:00,0.9835122185464196
2021-08-23 00:00:00-04:00,0.9835274315906737
2021-08-24 00:00:00-04:00,0.9835162352567496
2021-08-25 00:00:00-04:00,0.9835205059848527
2021-08-26 00:00:00-04:00,0.9835184649113404
2021-08-27 00:00:00-04:00,0.9835229014877137
2021-08-30 00:00:00-04:00,0.9835216140431476
2021-08-31 00:00:00-04:00,0.9835129621592216
2021-09-01 00:00:00-04:00,0.9835438765582907
2021-09-02 00:00:00-04:00,0.9835231680676635
2021-09-03 00:00:00-04:00,0.9835263953004978
2021-09-07 00:00:00-04:00,0.9835410071994549
2021-09-08 00:00:00-04:00,0.9835125801989621
2021-09-09 00:00:00-04:00,0.9835421166254753
2021-09-10 00:00:00-04:00,0.9835208352843775
2021-09-13 00:00:00-04:00,0.9835365633900637
2021-09-14 00:00:00-04:00,0.9835298287367317
2021-09-15 00:00:00-04:00,0.9835368680913947
2021-09-16 00:00:00-04:00,0.9835455830807363
2021-09-17 00:00:00-04:00,0.983531534026155
2021-09-20 00:00:00-04:00,0.9846179851435181
2021-09-21 00:00:00-04:00,0.984632128716574
2021-09-22 00:00:00-04:00,0.9846422316581025
2021-09-23 00:00:00-04:00,0.9846259188370131
2021-09-24 00:00:00-04:00,0.9846256087600811
2021-09-27 00:00:00-04:00,0.9846153476559266
2021-09-28 00:00:00-04:00,0.9845944857848531
2021-09-29 00:00:00-04:00,0.9846202572139517
2021-09-30 00:00:00-04:00,0.9846351466691207
2021-10-01 00:00:00-04:00,0.9846359044067051
2021-10-04 00:00:00-04:00,0.9846052956080499
2021-10-05 00:00:00-04:00,0.9846518363315021
2021-10-06 00:00:00-04:00,0.9846586854264344
2021-10-07 00:00:00-04:00,0.9846459666655601
2021-10-08 00:00:00-04:00,0.9846181048679148
2021-10-11 00:00:00-04:00,0.9846421181499786
2021-10-12 00:00:00-04:00,0.9846196315991849
2021-10-13 00:00:00-04:00,0.9846372770444826
2021-10-14 00:00:00-04:00,0.9846528688294225
2021-10-15 00:00:00-04:00,0.9846454256157752
2021-10-18 00:00:00-04:00,0.9846455535810026
2021-10-19 00:00:00-04:00,0.9846435981882106
2021-10-20 00:00:00-04:00,0.9846371072122744
2021-10-21 00:00:00-04:00,0.9846395585854482
2021-10-22 00:00:00-04:00,0.9846351888963746
2021-10-25 00:00:00-04:00,0.9846504521991413
2021-10-26 00:00:00-04:00,0.9846353773911515
2021-10-27 00:00:00-04:00,0.9846482510298187
2021-10-28 00:00:00-04:00,0.9846178678478896
2021-10-29 00:00:00-04:00,0.9846430203582053
2021-11-01 00:00:00-04:00,0.9846351521424278
2021-11-02 00:00:00-04:00,0.9846436207741389
2021-11-03 00:00:00-04:00,0.9846425867006476
2021-11-04 00:00:00-04:00,0.9846475986223875
2021-11-05 00:00:00-04:00,0.9846263195234005
2021-11-08 00:00:00-05:00,0.9846248085972745
2021-11-09 00:00:00-05:00,0.9846076572535712
2021-11-10 00:00:00-05:00,0.9845877555312051
2021-11-11 00:00:00-05:00,0.9846227170612666
2021-11-12 00:00:00-05:00,0.9846335427221694
2021-11-15 00:00:00-05:00,0.984629976160563
2021-11-16 00:00:00-05:00,0.9846410925404621
2021-11-17 00:00:00-05:00,0.9846335249356167
2021-11-18 00:00:00-05:00,0.9846359055231451
2021-11-19 00:00:00-05:00,0.9846544707030755
2021-11-22 00:00:00-05:00,0.9846258200142616
2021-11-23 00:00:00-05:00,0.9846373753540082
2021-11-24 00:00:00-05:00,0.9846620925845748
2021-11-26 00:00:00-05:00,0.9845826454939631
2021-11-29 00:00:00-05:00,0.984648862167953
2021-11-30 00:00:00-05:00,0.9846202795408998
2021-12-01 00:00:00-05:00,0.9846217563120807
2021-12-02 00:00:00-05:00,0.9846698550442756
2021-12-03 00:00:00-05:00,0.9845990658612729
2021-12-06 00:00:00-05:00,0.984616030819497
2021-12-07 00:00:00-05:00,0.9846369868332171
2021-12-08 00:00:00-05:00,0.9846253843225048
2021-12-09 00:00:00-05:00,0.984615288714608
2021-12-10 00:00:00-05:00,0.9846301322694241
2021-12-13 00:00:00-05:00,0.9846099558713225
2021-12-14 00:00:00-05:00,0.9846036746567831
2021-12-15 00:00:00-05:00,0.9846374818133848
2021-12-16 00:00:00-05:00,0.984600590938233
2021-12-17 00:00:00-05:00,0.9846281615986514
2021-12-20 00:00:00-05:00,0.985883747258672
2021-12-21 00:00:00-05:00,0.9859217988540426
2021-12-22 00:00:00-05:00,0.985931764928456
2021-12-23 00:00:00-05:00,0.9859060507531963
2021-12-27 00:00:00-05:00,0.9859211938835643
2021-12-28 00:00:00-05:00,0.9858845621925444
2021-12-29 00:00:00-05:00,0.9858896880995411
2021-12-30 00:00:00-05:00,0.9859036618266456
2021-12-31 00:00:00-05:00,0.9859001273425674
2022-01-03 00:00:00-05:00,0.9859082574517316
2022-01-04 00:00:00-05:00,0.9858945132917482
2022-01-05 00:00:00-05:00,0.9859008337766813
2022-01-06 00:00:00-05:00,0.9859223498615006
2022-01-07 00:00:00-05:00,0.9859155548157486
2022-01-10 00:00:00-05:00,0.9859110456142818
2022-01-11 00:00:00-05:00,0.9859294679656557
2022-01-12 00:00:00-05:00,0.9859211222920121
2022-01-13 00:00:00-05:00,0.98588233142616
2022-01-14 00:00:00-05:00,0.9859225430728881
2022-01-18 00:00:00-05:00,0.9859131477638786
2022-01-19 00:00:00-05:00,0.985922377156952
2022-01-20 00:00:00-05:00,0.9859127512422405
2022-01-21 00:00:00-05:00,0.9859092581120737
2022-01-24 00:00:00-05:00,0.9858982324287687
2022-01-25 00:00:00-05:00,0.9858702724269426
2022-01-26 00:00:00-05:00,0.9859253831618591
2022-01-27 00:00:00-05:00,0.9859168160714775
2022-01-28 00:00:00-05:00,0.9859008454678585
2022-01-31 00:00:00-05:00,0.9859129251696892
2022-02-01 00:00:00-05:00,0.9859133458271406
2022-02-02 00:00:00-05:00,0.9859171469353918
2022-02-03 00:00:00-05:00,0.9858818895238476
2022-02-04 00:00:00-05:00,0.9859107965520101
2022-02-07 00:00:00-05:00,0.9858937442658017
2022-02-08 00:00:00-05:00,0.985935645109196
2022-02-09 00:00:00-05:00,0.9859038564882666
2022-02-10 00:00:00-05:00,0.9859118760389651
2022-02-11 00:00:00-05:00,0.9858670440347599
2022-02-14 00:00:00-05:00,0.9859188668632184
2022-02-15 00:00:00-05:00,0.9859020303905588
2022-02-16 00:00:00-05:00,0.9859117522237665
2022-02-17 00:00:00-05:00,0.9858929926081913
2022-02-18 00:00:00-05:00,0.9858739231765725
