date,side,entry_time,entry_price,exit_time,exit_price,shares,pnl,stopped_out,eod_flatten
2023-06-27,SHORT,2023-06-27 10:07:00-04:00,353.33,2023-06-27 10:27:00-04:00,353.76,270,-116.10000000000184,True,False
2023-06-27,LONG,2023-06-27 10:27:00-04:00,353.76,2023-06-27 10:29:00-04:00,353.42,269,-91.45999999999327,True,False
2023-06-27,SHORT,2023-06-27 10:29:00-04:00,353.42,2023-06-27 10:41:00-04:00,353.65,269,-61.8699999999896,True,False
2023-06-27,LONG,2023-06-27 10:41:00-04:00,353.65,2023-06-27 10:42:00-04:00,353.25,269,-107.59999999999388,True,False
2023-06-27,SHORT,2023-06-27 10:42:00-04:00,353.25,2023-06-27 10:50:00-04:00,353.66,269,-110.29000000000673,True,False
2023-06-27,LONG,2023-06-27 10:50:00-04:00,353.66,2023-06-27 10:52:00-04:00,353.49,268,-45.560000000004266,True,False
2023-06-27,SHORT,2023-06-27 10:52:00-04:00,353.49,2023-06-27 11:00:00-04:00,353.64,268,-40.199999999993906,True,False
2023-06-27,LONG,2023-06-27 11:00:00-04:00,353.64,2023-06-27 11:01:00-04:00,353.42,268,-58.95999999999208,True,False
2023-06-27,SHORT,2023-06-27 11:01:00-04:00,353.42,2023-06-27 11:19:00-04:00,353.51,268,-24.119999999993297,True,False
2023-06-27,LONG,2023-06-27 11:19:00-04:00,353.51,2023-06-27 15:59:00-04:00,357.62,268,1101.4800000000037,False,True
2023-06-28,SHORT,2023-06-28 09:31:00-04:00,355.98,2023-06-28 09:32:00-04:00,356.36,269,-102.21999999999878,True,False
2023-06-28,LONG,2023-06-28 09:32:00-04:00,356.36,2023-06-28 09:45:00-04:00,356.38,269,5.379999999995107,True,False
2023-06-28,SHORT,2023-06-28 09:45:00-04:00,356.38,2023-06-28 09:47:00-04:00,356.56,269,-48.420000000001835,True,False
2023-06-28,LONG,2023-06-28 09:47:00-04:00,356.56,2023-06-28 10:05:00-04:00,356.58,268,5.359999999995125,True,False
2023-06-28,SHORT,2023-06-28 10:05:00-04:00,356.58,2023-06-28 10:08:00-04:00,356.69,268,-29.480000000003656,True,False
2023-06-28,LONG,2023-06-28 10:08:00-04:00,356.69,2023-06-28 10:09:00-04:00,356.54,268,-40.199999999993906,True,False
2023-06-28,SHORT,2023-06-28 10:09:00-04:00,356.54,2023-06-28 10:11:00-04:00,356.73,268,-50.91999999999939,True,False
2023-06-28,LONG,2023-06-28 10:11:00-04:00,356.73,2023-06-28 10:12:00-04:00,356.24,268,-131.32000000000244,True,False
2023-06-28,SHORT,2023-06-28 10:12:00-04:00,356.24,2023-06-28 10:15:00-04:00,356.82,268,-155.43999999999573,True,False
2023-06-28,LONG,2023-06-28 10:15:00-04:00,356.82,2023-06-28 11:25:00-04:00,358.01,267,317.7299999999994,True,False
2023-06-28,SHORT,2023-06-28 11:25:00-04:00,358.01,2023-06-28 11:26:00-04:00,358.23,267,-58.740000000007285,True,False
2023-06-28,LONG,2023-06-28 11:26:00-04:00,358.23,2023-06-28 12:31:00-04:00,358.09,267,-37.380000000011535,True,False
